Exchange ,Scrip Code ,User ,Client ,Client Name ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,Product Type ,Group ,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,Net Value Post Expenses ,Option Flag ,VAR % ,VAR Amount ,SM Category ,Category ,Expense ,ExcerciseExpense ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity
NSE ,86083,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,BAJFINANCE ,29AUG2024,7000.00,PE ,BAJFINANCE24AUG7000PE, , , , , ,125,1, ,33875.00,271.00,-125,-1, ,33875.00,271.00,296.45,-37056.25,-3181.25,CarryForward ,HO ,58.40 - 472.60, , ,33875.00,125,1, ,0.00,-3181.25,33875.00,ITM , , , ,NORMAL , , , , ,
NSE ,104258,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,GRASIM ,25JUL2024,2600.00,PE ,GRASIM24JUL2600PE,500,2, ,3387.50,6.78, , , , , ,500,2, ,-3387.50,6.78,6.95,3475.00,87.50,CarryForward ,HO ,0.05 - 26.45, , ,3387.50,500,2, ,0.00,87.50,-3387.50,OTM , , , ,NORMAL , , , , ,
NSE ,106736,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,HDFCLIFE ,25JUL2024,630.00,CE ,HDFCLIFE24JUL630CE,1100,1, ,13640.00,12.40, , , , , ,1100,1, ,-13640.00,12.40,11.45,12595.00,-1045.00,CarryForward ,HO ,0.05 - 45.35, , ,13640.00,1100,1, ,0.00,-1045.00,-13640.00,ITM , , , ,NORMAL , , , , ,
NSE ,112987,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,IDFCFIRSTB ,25JUL2024,90.00,CE ,IDFCFIRSTB24JUL90CE,7500,1, ,750.00,0.10, , , , , ,7500,1, ,-750.00,0.10,0.10,750.00,0.00,CarryForward ,HO ,0.05 - 20.15, , ,750.00,7500,1, ,0.00,0.00,-750.00,OTM , , , ,NORMAL , , , , ,
NSE ,114304,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,IGL ,25JUL2024,500.00,PE ,IGL24JUL500PE,1375,1, ,3575.00,2.60, , , , , ,1375,1, ,-3575.00,2.60,2.95,4056.25,481.25,CarryForward ,HO ,0.05 - 22.95, , ,3575.00,1375,1, ,0.00,481.25,-3575.00,NA , , , ,NORMAL , , , , ,
NSE ,114852,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,INFY ,25JUL2024,1580.00,PE ,INFY24JUL1580PE,400,1, ,160.00,0.40, , , , , ,400,1, ,-160.00,0.40,0.45,180.00,20.00,CarryForward ,HO ,0.05 - 24.45, , ,160.00,400,1, ,0.00,20.00,-160.00,OTM , , , ,NORMAL , , , , ,
NSE ,117853,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,INFY ,25JUL2024,1720.00,CE ,INFY24JUL1720CE,400,1, ,31700.00,79.25, , , , , ,400,1, ,-31700.00,79.25,77.45,30980.00,-720.00,CarryForward ,HO ,14.65 - 228.60, , ,31700.00,400,1, ,0.00,-720.00,-31700.00,ITM , , , ,NORMAL , , , , ,
NSE ,142041,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,RELIANCE ,25JUL2024,3000.00,PE ,RELIANCE24JUL3000PE,500,2, ,7112.50,14.22, , , , , ,500,2, ,-7112.50,14.22,15.50,7750.00,637.50,CarryForward ,HO ,0.05 - 52.60, , ,7112.50,500,2, ,0.00,637.50,-7112.50,OTM , , , ,NORMAL , , , , ,
NSE ,134620,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,RELIANCE ,25JUL2024,3300.00,CE ,RELIANCE24JUL3300CE,500,2, ,4400.00,8.80, , , , , ,500,2, ,-4400.00,8.80,7.75,3875.00,-525.00,CarryForward ,HO ,0.05 - 36.35, , ,4400.00,500,2, ,0.00,-525.00,-4400.00,OTM , , , ,NORMAL , , , , ,
NSE ,143872,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TATACHEM ,25JUL2024,1200.00,CE ,TATACHEM24JUL1200CE,1100,2, ,1485.00,1.35, , , , , ,1100,2, ,-1485.00,1.35,0.95,1045.00,-440.00,CarryForward ,HO ,0.05 - 22.50, , ,1485.00,1100,2, ,0.00,-440.00,-1485.00,OTM , , , ,NORMAL , , , , ,
NSE ,145008,ALL ,A936,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,TECHM ,25JUL2024,1372.00,CE ,TECHM24JUL1372CE,600,1, ,75660.00,126.10, , , , , ,600,1, ,-75660.00,126.10,119.05,71430.00,-4230.00,CarryForward ,HO ,67.40 - 213.30, , ,75660.00,600,1, ,0.00,-4230.00,-75660.00,ITM , , , ,NORMAL , , , , ,
