Exchange ,Scrip Code ,User ,Client ,Client Name ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,Product Type ,Group ,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,Net Value Post Expenses ,Option Flag ,VAR % ,VAR Amount ,SM Category ,Category ,Expense ,ExcerciseExpense ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity
NSE ,78954 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,ACC ,25JUL2024 ,2500.00 ,PE ,ACC24JUL2500PE ,300 ,1 , ,3195.00 ,10.65 , , , , , ,300 ,1 , ,-3195.00 ,10.65 ,11.70 ,3510.00 ,315.00 ,CarryForward ,HO ,0.05 - 28.80 , , ,3195.00 ,300 ,1 , ,0.00 ,315.00 ,-3195.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,79072 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,ACC ,25JUL2024 ,2900.00 ,CE ,ACC24JUL2900CE ,300 ,1 , ,1545.00 ,5.15 , , , , , ,300 ,1 , ,-1545.00 ,5.15 ,4.75 ,1425.00 ,-120.00 ,CarryForward ,HO ,0.05 - 31.70 , , ,1545.00 ,300 ,1 , ,0.00 ,-120.00 ,-1545.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,14813 ,ALL ,S1687 ,SANJAYKUMAR NIRMALKUMAR PACHERIWALA ,Equities , ,ADSL ,EQ , ,NORMAL ,ALLIED DIGITAL SERV. LTD ,127 , , ,27698.70 ,218.10 , , , , , ,127 , , ,-27698.70 ,218.10 ,217.82 ,27663.14 ,-35.56 ,Margin ,HO ,204.08 - 249.43 , , ,27698.70 ,127 , , ,0.00 ,-35.56 ,-27698.70 ,NA ,50.00 ,13849.35 , ,NORMAL , , , , ,
NSE ,81715 ,ALL ,A956 ,ANKUSH DHYAWALA (HUF) ,Options ,OPTSTK ,APOLLOTYRE ,29AUG2024 ,440.00 ,PE ,APOLLOTYRE24AUG440PE ,1700 ,1 , ,4250.00 ,2.50 ,1700 ,1 , ,6290.00 ,3.70 , , , ,2040.00 , ,2.60 ,0.00 ,2040.00 ,CarryForward ,HO ,0.05 - 20.70 , , ,10540.00 ,3400 ,2 , ,0.00 ,2040.00 ,2040.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,69796 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,APOLLOTYRE ,25JUL2024 ,500.00 ,PE ,APOLLOTYRE24JUL500PE , , , , , ,1700 ,1 , ,10625.00 ,6.25 ,-1700 ,-1 , ,10625.00 ,6.25 ,2.50 ,-4250.00 ,6375.00 ,CarryForward ,HO ,0.05 - 39.80 , , ,10625.00 ,1700 ,1 , ,0.00 ,6375.00 ,10625.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,69977 ,ALL ,S1599 ,SUDHA JOSHI ,Options ,OPTSTK ,ASHOKLEY ,25JUL2024 ,220.00 ,PE ,ASHOKLEY24JUL220PE ,5000 ,1 , ,18250.00 ,3.65 , , , , , ,5000 ,1 , ,-18250.00 ,3.65 ,4.00 ,20000.00 ,1750.00 ,CarryForward ,HO ,0.05 - 23.20 , , ,18250.00 ,5000 ,1 , ,0.00 ,1750.00 ,-18250.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,69980 ,ALL ,S1599 ,SUDHA JOSHI ,Options ,OPTSTK ,ASHOKLEY ,25JUL2024 ,230.00 ,CE ,ASHOKLEY24JUL230CE ,5000 ,1 , ,21250.00 ,4.25 , , , , , ,5000 ,1 , ,-21250.00 ,4.25 ,2.95 ,14750.00 ,-6500.00 ,CarryForward ,HO ,0.05 - 25.15 , , ,21250.00 ,5000 ,1 , ,0.00 ,-6500.00 ,-21250.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,70515 ,ALL ,P422 ,PRIYAJU DHYAWALA ,Options ,OPTSTK ,ASTRAL ,25JUL2024 ,2200.00 ,PE ,ASTRAL24JUL2200PE ,367 ,1 , ,8606.15 ,23.45 , , , , , ,367 ,1 , ,-8606.15 ,23.45 ,18.40 ,6752.80 ,-1853.35 ,CarryForward ,HO ,0.05 - 59.80 , , ,8606.15 ,367 ,1 , ,0.00 ,-1853.35 ,-8606.15 ,NA , , , ,NORMAL , , , , ,
NSE ,72398 ,ALL ,S1693 ,SAVITA SANJAY PACHERIWALA ,Options ,OPTSTK ,AXISBANK ,25JUL2024 ,1200.00 ,CE ,AXISBANK24JUL1200CE ,625 ,1 , ,61125.00 ,97.80 , , , , , ,625 ,1 , ,-61125.00 ,97.80 ,97.85 ,61156.25 ,31.25 ,CarryForward ,HO ,23.60 - 174.55 , , ,61125.00 ,625 ,1 , ,0.00 ,31.25 ,-61125.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,85115 ,ALL ,S1693 ,SAVITA SANJAY PACHERIWALA ,Options ,OPTSTK ,AXISBANK ,29AUG2024 ,1200.00 ,CE ,AXISBANK24AUG1200CE , , , , , ,625 ,1 , ,70625.00 ,113.00 ,-625 ,-1 , ,70625.00 ,113.00 ,113.00 ,-70625.00 ,0.00 ,CarryForward ,HO ,49.20 - 183.15 , , ,70625.00 ,625 ,1 , ,0.00 ,0.00 ,70625.00 ,ITM , , , ,NORMAL , , , , ,
